Date,Open,High,Low,Close,Total Trade Quantity
2015-10-14,29.7,32.45,25.8,29.95,645869.0
2015-10-15,30.45,31.25,29.8,30.4,476248.0
2015-10-16,30.7,30.75,29.95,30.3,182884.0
2015-10-19,30.3,32.2,30.1,32.0,268121.0
2015-10-20,31.95,32.3,31.35,31.6,269907.0
2015-10-21,32.0,32.0,31.2,31.35,134687.0
2015-10-23,32.0,32.0,31.05,31.3,137195.0
2015-10-26,31.8,31.9,30.75,30.9,234032.0
2015-10-27,31.0,31.5,30.8,31.35,142542.0
2015-10-28,31.4,31.4,29.6,30.55,152734.0
2015-10-29,30.55,30.65,27.5,28.25,138476.0
2015-10-30,29.0,32.0,28.0,30.2,706206.0
2015-11-02,29.3,30.95,29.3,30.3,209622.0
2015-11-03,30.0,30.6,29.5,30.0,160327.0
2015-11-04,29.9,30.9,29.9,30.2,176214.0
2015-11-05,30.45,30.5,29.5,29.85,137253.0
2015-11-06,30.4,30.4,29.15,29.55,94413.0
2015-11-09,29.9,30.9,29.0,30.0,188725.0
2015-11-10,30.95,30.95,29.65,29.9,131338.0
2015-11-11,30.65,30.65,29.2,29.8,7570.0
2015-11-13,30.45,30.45,28.6,29.3,57193.0
2015-11-16,29.0,29.8,27.55,28.55,169790.0
2015-11-17,29.0,29.4,27.95,27.95,60777.0
2015-11-18,28.7,29.5,27.4,27.75,242201.0
2015-11-19,28.65,28.7,27.9,28.0,34227.0
2015-11-20,28.75,28.75,27.55,28.05,48343.0
2015-11-23,28.8,28.95,27.3,27.45,148143.0
2015-11-24,27.85,28.25,27.15,27.3,24446.0
2015-11-26,27.25,28.2,27.25,27.5,118163.0
2015-11-27,27.75,27.85,27.35,27.45,63788.0
2015-11-30,27.9,27.9,27.25,27.35,35183.0
2015-12-01,27.2,27.8,26.8,27.5,65499.0
2015-12-02,27.65,30.35,27.2,29.1,131876.0
2015-12-03,29.45,30.35,28.8,29.0,105247.0
2015-12-04,29.75,29.75,28.5,28.75,48937.0
2015-12-07,29.0,29.5,27.2,28.3,69551.0
2015-12-08,27.55,29.65,27.55,28.2,32919.0
2015-12-09,28.5,28.5,27.25,27.45,31132.0
2015-12-10,27.3,27.9,27.0,27.35,71203.0
2015-12-11,27.0,27.75,26.9,27.25,56592.0
2015-12-14,26.2,27.75,26.2,27.25,63204.0
2015-12-15,26.6,29.8,26.6,28.05,205248.0
2015-12-16,28.45,28.7,27.6,27.8,24397.0
2015-12-17,28.15,28.5,27.7,28.2,39747.0
2015-12-18,28.9,29.5,27.85,27.95,82044.0
2015-12-21,27.45,28.7,27.45,27.9,83591.0
2015-12-22,28.25,28.5,27.7,28.05,158072.0
2015-12-23,28.35,29.4,28.3,29.05,159542.0
2015-12-24,29.5,33.3,28.7,31.85,317563.0
2015-12-28,31.9,34.9,31.8,33.1,252941.0
2015-12-29,33.5,34.4,32.15,33.0,106334.0
2015-12-30,32.25,38.45,32.25,36.55,784559.0
2015-12-31,36.65,38.75,36.25,36.5,381632.0
2016-01-01,36.0,36.3,34.6,35.2,73518.0
2016-01-04,35.55,37.5,34.75,35.9,258669.0
